date,price
2012-07-14,44.36
2012-07-16,30
2012-07-16,30
2012-08-06,309
2012-08-31,100
2012-08-31,586.9
2013-02-12,3900
2013-03-08,134.42
2013-03-10,1300
2013-03-15,9420
2013-03-18,221.68
2013-04-02,92.36
2013-04-10,1300
2013-04-10,91.8
2013-04-29,50.79
2013-05-10,1300
2013-05-10,91.8
2013-05-13,1150
2013-05-15,105.78
2013-05-26,86.18
2013-06-01,108.95
2013-06-04,66.61
2013-06-04,0
2013-06-10,91.8
2013-06-11,221.44
2013-06-11,148.9
2013-06-11,1300
2013-06-13,30
2013-06-15,12.64
2013-06-17,23.27
2013-06-17,3
2013-06-21,54.5
2013-06-22,183.16
2013-06-26,58.43
2013-07-08,1300
2013-07-11,113.52
2013-07-13,277.62
2013-07-22,90.02
2013-07-22,22.37
2013-08-02,1139
2013-08-14,1300
2013-08-14,1186.38
2013-08-14,400
2013-08-14,3081.8
2013-09-05,174.1
2013-09-12,1300
2013-09-12,73
2013-09-12,17.8
