letter	frequency
2013-11-18	65.00
2013-11-22	27.00
2013-11-23	32.95
2013-11-23	32.95
2013-11-23	32.95
2013-12-01	50.00
2013-12-01	54.00
2013-12-02	32.95
2013-12-02	32.95
2013-12-02	32.95
2013-12-03	32.95
2013-12-03	32.95
2013-12-04	32.95
2013-12-11	25.00
2014-01-03	32.95
2014-01-03	32.95
2014-01-03	32.95
2014-01-03	32.95
2014-01-07	25.00
2014-01-08	62.65
2014-01-08	32.95
2014-01-11	35.00
2014-01-20	18.00
2014-01-20	32.95
2014-01-20	62.65
2014-01-20	32.95
2014-01-24	10.00
2014-01-27	8.00
2014-02-02	16.00
2014-02-06	62.65
2014-02-06	62.65
2014-02-06	32.95
2014-02-06	32.95
2014-02-06	32.95
2014-02-06	40.95
2014-02-06	62.65
2014-02-06	62.65
2014-02-06	32.95
2014-02-06	127.55
2014-02-12	40.95
2014-02-12	16.00
2014-02-12	18.00
2014-02-12	8.00
2014-02-15	48.00
2014-02-20	62.65
2014-02-20	32.95
2014-02-20	32.95
2014-02-20	32.95
2014-02-21	8.00
